Email,new or existing Id
tmp02@coucou.com,56
tmp04@coucou.com,53
tmp05@coucou.com,55
tmp06@coucou.com,54
tmp03@coucou.com,48
tmp09@coucou.com,59
tmp08@coucou.com,49
tmp0@coucou.com,50
tmp07@coucou.com,52
tmp12@coucou.com,65
tmp14@coucou.com,62
tmp15@coucou.com,64
tmp16@coucou.com,63
tmp13@coucou.com,57
tmp19@coucou.com,68
tmp18@coucou.com,58
tmp1@coucou.com,51
tmp17@coucou.com,61
tmp22@coucou.com,74
tmp24@coucou.com,71
tmp25@coucou.com,73
tmp26@coucou.com,72
tmp23@coucou.com,66
tmp29@coucou.com,77
tmp28@coucou.com,67
tmp2@coucou.com,60
tmp27@coucou.com,70
tmp32@coucou.com,83
tmp34@coucou.com,80
tmp35@coucou.com,82
tmp36@coucou.com,81
tmp33@coucou.com,75
tmp39@coucou.com,86
tmp38@coucou.com,76
tmp3@coucou.com,69
tmp37@coucou.com,79
tmp42@coucou.com,91
tmp44@coucou.com,88
tmp45@coucou.com,90
tmp46@coucou.com,89
tmp43@coucou.com,84
tmp49@coucou.com,92
tmp48@coucou.com,85
tmp4@coucou.com,78
tmp47@coucou.com,87
